,Genotype,Num_ID,Isolate,Tray,Time,Image,Lesion.0.m.cx,Lesion.0.m.cy,Lesion.0.m.majoraxis,Lesion.0.m.eccentricity,Lesion.0.m.theta,Lesion.0.s.area,Lesion.0.s.perimeter,Lesion.0.s.radius.mean,Lesion.0.s.radius.sd,Lesion.0.s.radius.min,Lesion.0.s.radius.max,Lesion.red.m.cx,Lesion.red.m.cy,Lesion.red.m.majoraxis,Lesion.red.m.eccentricity,Lesion.red.m.theta,Lesion.grn.m.cx,Lesion.grn.m.cy,Lesion.grn.m.majoraxis,Lesion.grn.m.eccentricity,Lesion.grn.m.theta,Lesion.blu.m.cx,Lesion.blu.m.cy,Lesion.blu.m.majoraxis,Lesion.blu.m.eccentricity,Lesion.blu.m.theta,Lesion.redgrn.m.cx,Lesion.redgrn.m.cy,Lesion.redgrn.m.majoraxis,Lesion.redgrn.m.eccentricity,Lesion.redgrn.m.theta,Lesion.redblu.m.cx,Lesion.redblu.m.cy,Lesion.redblu.m.majoraxis,Lesion.redblu.m.eccentricity,Lesion.redblu.m.theta,Lesion.grnblu.m.cx,Lesion.grnblu.m.cy,Lesion.grnblu.m.majoraxis,Lesion.grnblu.m.eccentricity,Lesion.grnblu.m.theta,Lesion.Bred.m.cx,Lesion.Bred.m.cy,Lesion.Bred.m.majoraxis,Lesion.Bred.m.eccentricity,Lesion.Bred.m.theta,Lesion.Bgrn.m.cx,Lesion.Bgrn.m.cy,Lesion.Bgrn.m.majoraxis,Lesion.Bgrn.m.eccentricity,Lesion.Bgrn.m.theta,Lesion.Bblu.m.cx,Lesion.Bblu.m.cy,Lesion.Bblu.m.majoraxis,Lesion.Bblu.m.eccentricity,Lesion.Bblu.m.theta,Lesion.Bredgrn.m.cx,Lesion.Bredgrn.m.cy,Lesion.Bredgrn.m.majoraxis,Lesion.Bredgrn.m.eccentricity,Lesion.Bredgrn.m.theta,Lesion.Bredblu.m.cx,Lesion.Bredblu.m.cy,Lesion.Bredblu.m.majoraxis,Lesion.Bredblu.m.eccentricity,Lesion.Bredblu.m.theta,Lesion.Bgrnblu.m.cx,Lesion.Bgrnblu.m.cy,Lesion.Bgrnblu.m.majoraxis,Lesion.Bgrnblu.m.eccentricity,Lesion.Bgrnblu.m.theta,Leaf.0.m.cx,Leaf.0.m.cy,Leaf.0.m.majoraxis,Leaf.0.m.eccentricity,Leaf.0.m.theta,Leaf.0.s.area,Leaf.0.s.perimeter,Leaf.0.s.radius.mean,Leaf.0.s.radius.sd,Leaf.0.s.radius.min,Leaf.0.s.radius.max,Leaf.red.m.cx,Leaf.red.m.cy,Leaf.red.m.majoraxis,Leaf.red.m.eccentricity,Leaf.red.m.theta,Leaf.grn.m.cx,Leaf.grn.m.cy,Leaf.grn.m.majoraxis,Leaf.grn.m.eccentricity,Leaf.grn.m.theta,Leaf.blu.m.cx,Leaf.blu.m.cy,Leaf.blu.m.majoraxis,Leaf.blu.m.eccentricity,Leaf.blu.m.theta,Leaf.redgrn.m.cx,Leaf.redgrn.m.cy,Leaf.redgrn.m.majoraxis,Leaf.redgrn.m.eccentricity,Leaf.redgrn.m.theta,Leaf.redblu.m.cx,Leaf.redblu.m.cy,Leaf.redblu.m.majoraxis,Leaf.redblu.m.eccentricity,Leaf.redblu.m.theta,Leaf.grnblu.m.cx,Leaf.grnblu.m.cy,Leaf.grnblu.m.majoraxis,Leaf.grnblu.m.eccentricity,Leaf.grnblu.m.theta,Leaf.Bred.m.cx,Leaf.Bred.m.cy,Leaf.Bred.m.majoraxis,Leaf.Bred.m.eccentricity,Leaf.Bred.m.theta,Leaf.Bgrn.m.cx,Leaf.Bgrn.m.cy,Leaf.Bgrn.m.majoraxis,Leaf.Bgrn.m.eccentricity,Leaf.Bgrn.m.theta,Leaf.Bblu.m.cx,Leaf.Bblu.m.cy,Leaf.Bblu.m.majoraxis,Leaf.Bblu.m.eccentricity,Leaf.Bblu.m.theta,Leaf.Bredgrn.m.cx,Leaf.Bredgrn.m.cy,Leaf.Bredgrn.m.majoraxis,Leaf.Bredgrn.m.eccentricity,Leaf.Bredgrn.m.theta,Leaf.Bredblu.m.cx,Leaf.Bredblu.m.cy,Leaf.Bredblu.m.majoraxis,Leaf.Bredblu.m.eccentricity,Leaf.Bredblu.m.theta,Leaf.Bgrnblu.m.cx,Leaf.Bgrnblu.m.cy,Leaf.Bgrnblu.m.majoraxis,Leaf.Bgrnblu.m.eccentricity,Leaf.Bgrnblu.m.theta,Lesion.Size,Leaf.Size,Lesion.Prop,Leaf.Grn,Leaf.Ylw,Lesion.Grn,Lesion.Ylw,Area.cm,Area.mm,Botrydial_HL,X0,AT1G22410,AT1G22410.1,AT4G39980,AT4G33510,AT5G66120,AT1G48860.CIS2,AT1G48860.CIS1,AT1G48850
1,1.14.1,41,KernB2,T3,96,IMG_9529_T3_C_OG.jpg,3266.8957,484.0256176,43.24845994,0.658597981,-0.195130259,1093,112,18.28886041,2.155978928,14.62579853,22.68738756,3266.884908,484.0504705,43.2760212,0.657412822,-0.207471679,3266.839822,484.186438,44.2578665,0.663300604,-0.213625284,3266.383682,484.3171176,42.03184725,0.62920239,-0.258761212,3266.410522,485.2849594,51.18635455,0.698560098,-0.358477871,3268.787553,482.9838165,46.90992749,0.733698471,-0.075281189,3269.715591,483.4672912,55.21494107,0.752197345,-0.098508882,3266.816055,484.312635,43.2909732,0.655644971,-0.213765643,3266.805708,484.3958076,45.26115699,0.66170273,-0.232498112,3266.297709,484.1226677,41.56607417,0.583679091,-0.312076299,3264.180966,492.2721147,60.33013625,0.80391819,-0.184818869,3270.517505,488.0518608,55.36145268,0,-0.064551987,3249.492547,463.6639022,0,0,-1.178834989,3246.078448,497.5119076,343.48388,0.957539014,0.201493693,25278,848,113.1290293,47.13183454,46.82484596,201.7097559,3244.310148,495.644395,339.2609522,0.958837256,0.200960706,3245.054016,496.5804128,340.1454924,0.958433329,0.201194848,3238.232554,495.0694428,350.5347427,0.963272423,0.207036544,3235.366796,490.0431397,326.0076919,0.944416245,0.187092113,3348.434009,613.8525162,462.1392112,0,-0.294707579,3242.537376,486.287674,254.9367099,0.9697321,0.135689668,3242.84423,495.3989418,332.6563188,0.9609348,0.195210204,3243.029431,496.7622422,337.5185967,0.960036855,0.197513422,3230.920868,497.6955767,308.3384861,0.9780053,0.224603201,3250.366552,495.3428436,328.3556061,0.935381961,0.247488623,3327.612466,575.9279279,356.7403932,0,-0.361505812,3231.58838,474.2028546,288.5625574,0,0.076144479,1093,25278,0.04323918,20834,3207,30,514,3.548606276,35.48606276,0,NA,0,1,0,0,0,0,0,0
2,1.14.1,74,1.03.18,T4,96,IMG_9530_T4_C_OG.jpg,3264.15566,1593.934372,111.6934726,0.856735569,-0.052460841,4876,266,39.9867273,10.0032433,21.55776809,55.84080955,3263.893686,1594.325367,116.3290915,0.870000832,-0.039647906,3264.28998,1594.481689,115.8297818,0.867101175,-0.04303688,3264.226916,1595.801851,110.2323184,0.862867899,-0.036242429,3262.629055,1596.292602,149.6844222,0.923604184,0.029854616,3262.206544,1589.730605,140.3621984,0.912159449,-0.062206735,3264.735066,1592.132821,153.7693277,0.915919447,-0.065610302,3263.377392,1592.845539,118.9328028,0.874822069,-0.012774281,3264.108405,1593.266493,118.1004816,0.870995442,-0.017111291,3263.892913,1597.373608,111.9881848,0.894609704,0.018290393,3260.453449,1582.847109,191.0236965,0,0.091583941,3261.032148,1582.579763,145.0593788,0.948607232,-0.11449019,3264.040756,1581.579014,165.1176056,0.961444295,-0.092349309,3207.558087,1616.547752,364.7996756,0.971835967,-0.139246673,23706,816,111.4481652,49.23873281,40.06085436,199.8295094,3216.288078,1614.636472,366.1941463,0.974430877,-0.138904384,3212.009138,1615.748651,365.6937432,0.9736694,-0.137204526,3209.316883,1615.835698,377.1951235,0.976912519,-0.141397802,3256.988489,1606.422182,344.3166389,0.98079886,-0.101272649,3242.670516,1608.198121,313.1939025,0.969401003,-0.134679276,3222.548498,1614.797933,330.9162845,0.968342009,-0.127304595,3214.268779,1614.567301,372.9755934,0.975432711,-0.142455679,3209.737539,1615.844405,372.0735879,0.974422303,-0.139713125,3206.484476,1616.132933,369.1409286,0.980702408,-0.138834088,3272.427936,1604.003812,315.3965021,0.983796013,-0.095243821,3249.456763,1604.506836,333.9315756,0.98076463,-0.149192293,3226.045007,1612.208174,358.6480406,0.976617591,-0.146591023,4876,23706,0.205686324,8721,8025,0,2499,3.327923901,33.27923901,1,NA,0,1,0,0,0,0,0,0
3,1.14.1,71,1.03.18,T5,96,IMG_9531_T5_C_OG.jpg,2925.604324,1532.257297,39.32877506,0.631612118,0.15703071,925,104,16.75028761,2.064326695,12.1090032,21.17993147,2925.97794,1532.440877,39.06292729,0.62397177,0.145809572,2925.92218,1532.561928,40.03770857,0.634735555,0.143461646,2926.37894,1532.778022,38.11474589,0.605281026,0.107912124,2929.239993,1535.42399,39.57149079,0.643496112,-0.157343472,2924.747912,1531.216329,43.86526236,0.684238055,0.087567095,2926.857483,1533.911821,58.64265701,0.747976231,0.024243226,2926.056851,1532.386374,38.81659977,0.588806343,0.189187559,2925.945603,1532.621327,40.74113327,0.605022285,0.178935454,2926.469359,1532.675526,36.90148451,0.475784749,0.124971471,2929.562076,1535.792017,39.64852753,0.105151913,-0.338069658,2921.341828,1527.476438,51.90479801,0.802294687,0.23527971,2927.749338,1532.59379,0,0,-1.301872147,2952.757018,1526.370399,440.0905566,0.970844841,-0.082945633,28607,1003,133.7279499,63.93197162,25.50647541,243.6172243,2958.871182,1526.361654,446.2537518,0.973486542,-0.071814596,2955.90001,1526.394226,443.0647193,0.97258455,-0.077206251,2965.020405,1526.302183,456.9628118,0.975064207,-0.062464561,3013.44693,1523.735338,499.0929528,0.980915278,0.028701892,2564.473648,1513.718128,312.8661367,0,-1.505920672,2970.253553,1528.986677,438.9033667,0.989064142,-0.071330376,2962.318018,1526.940019,456.2280569,0.974990279,-0.065611456,2958.633294,1526.929927,452.2421095,0.973605501,-0.071923367,2961.220647,1526.56209,430.3478334,0.97988185,-0.065766371,3032.922618,1513.64603,489.2619129,0,0.144609029,2824.792539,1513.776823,258.3505369,0,-1.29651402,2990.274522,1535.081061,453.0947643,0,-0.069575503,925,28607,0.032334743,24597,3077,68,395,4.015941915,40.15941915,1,NA,0,1,0,0,0,0,0,0
4,1.14.1,76,1.03.18,T1,96,IMG_9527_T1_C_OG.jpg,3352.029403,1691.349731,98.96971276,0.885094817,-0.440913549,3537,214,34.40457375,9.057997095,19.31108958,49.91434208,3351.949623,1690.600661,102.4879161,0.891776493,-0.43829536,3352.301602,1690.502373,102.5970946,0.890303282,-0.438979081,3351.37098,1689.836983,97.45339353,0.883206011,-0.436914194,3354.331924,1685.000696,126.3770156,0.930585937,-0.427514561,3357.193014,1700.287504,134.9159523,0.995071087,-0.428838317,3365.705971,1700.394621,160.9524731,0,-0.464980873,3352.373799,1690.452482,105.2549184,0.894067461,-0.446562324,3353.041996,1690.260991,104.7102625,0.890954357,-0.446725386,3351.127606,1688.195422,101.203426,0.906483091,-0.446913758,3361.482966,1683.291586,138.8124041,0.925446759,-0.483711386,3357.424105,1725.720462,130.2904087,0,-0.221442886,3432.023985,1835.265672,229.3697514,0,-0.463556821,3329.977184,1666.501406,349.6273562,0.948397126,-0.34023707,28795,855,116.1922157,45.74196661,53.3998213,201.1060861,3332.013516,1667.446092,335.8949348,0.948134457,-0.337500499,3331.866913,1666.42188,340.1707729,0.949047881,-0.339499824,3328.988844,1669.696359,339.9612121,0.948911698,-0.328073977,3336.69079,1669.804738,268.625756,0.939976562,-0.339483957,3364.120354,1666.616667,121.3524717,0,-0.499362027,3351.26221,1657.811467,278.6204117,0.955623139,-0.353495397,3327.731618,1669.065482,332.3965085,0.949822704,-0.323195364,3327.922243,1667.778249,338.0580548,0.949963743,-0.327982003,3324.505224,1673.008324,293.1532178,0.942458867,-0.299978862,3326.343972,1678.558827,130.9177068,0.814831859,-0.230655798,3405.614465,1655.104396,100.0257114,0,-1.158133566,3372.901306,1651.58513,302.8164819,0.973322973,-0.366550164,3537,28795,0.122833825,17885,7127,0,1587,4.042333955,40.42333955,1,NA,0,1,0,0,0,0,0,0
5,1.14.1,9,T7,T1,96,IMG_9527_T1_C_OG.jpg,3381.368942,221.5964392,38.91944323,0.473760821,0.337701727,1011,105,17.6383154,1.862589634,13.88975707,21.73523843,3381.634139,221.7973409,38.84235238,0.485460816,0.346312495,3381.716111,221.9974017,39.64681784,0.472663329,0.335738226,3381.941577,221.8988906,39.04489279,0.474198782,0.424101573,3384.870171,225.1860601,40.31498136,0.542719769,0.266118981,3383.07681,223.1307253,38.22737165,0.536804276,0.150378781,3399.013162,240.202167,67.78136906,0,-0.722666545,3381.528117,222.0907173,38.99143655,0.518516683,0.342344121,3381.760159,222.3834998,40.6621696,0.47182375,0.315565863,3382.008029,221.930553,41.28524952,0.538242492,0.600550992,3382.945797,234.5933996,50.32170141,0,0.138054795,3381.160179,227.6625692,39.70075978,0,-0.070996272,3373.35795,206.0542075,0,0,-0.33420171,3301.172058,231.8331906,384.3855819,0.969210766,-0.169181567,26863,878,119.1646192,53.17807464,44.0516345,215.6259834,3295.23347,233.0994345,389.3118736,0.974019429,-0.168478629,3296.759078,232.9281793,385.8970552,0.972492379,-0.16857487,3285.518818,235.1481275,398.3684745,0.977162527,-0.167633612,3290.788841,229.5701911,471.5122598,0.969865125,-0.208743618,3358.843776,217.1319802,270.5633705,0.846778653,-0.164418773,-2834.681148,2270.734587,0,0,1.248970893,3290.94168,234.2722023,396.8997832,0.976348831,-0.16736247,3292.972178,233.9851768,394.0648391,0.974231758,-0.169111457,3277.690445,238.1907933,376.3910759,0.985165969,-0.151155815,3367.096903,196.032663,331.4057789,0.945774905,-0.110704966,3366.231207,211.3091014,255.4015521,0.804963017,-0.101396268,3641.368391,108.0293385,287.5302806,0,1.232225183,1011,26863,0.037635409,24445,1400,226,424,3.771113632,37.71113632,1,NA,0,1,0,0,0,0,0,0
6,1.14.1,20,BMM,T4,96,IMG_9530_T4_C_OG.jpg,3156.829703,930.1574257,43.78688302,0.730107353,0.526876211,1010,110,17.736891,2.660603961,12.83837545,22.62834652,3156.952259,930.5670551,45.29382464,0.730537278,0.513935255,3157.178145,930.5434043,45.35539493,0.725528647,0.521416394,3157.158006,931.0677866,45.11875114,0.73176125,0.54040386,3158.560837,932.424882,51.53978431,0.717529376,0.480949417,3156.277325,928.2794233,46.96612731,0.747074545,0.287677021,3159.459064,928.5985765,57.88767422,0.692954466,0.276901978,3157.019494,931.0666556,47.08427464,0.71882337,0.490309864,3157.464562,930.8319441,47.30294589,0.702490574,0.51302255,3157.38936,931.4542261,46.97664312,0.699231825,0.524880259,3164.475885,942.2911912,70.32173333,0.78397417,-0.117070179,3113.518995,898.6679787,0,0,-0.788429739,3156.038025,933.2786988,0,0,1.296224436,3144.384756,930.2770961,392.1300024,0.974221946,0.089135174,23472,871,116.6166573,54.00317301,28.72225631,215.1421156,3143.444555,929.4173914,364.9568929,0.973023344,0.086547265,3144.54799,929.6751844,372.541331,0.973554946,0.090482651,3135.984037,929.9725244,385.8426937,0.975265333,0.077184996,3146.594233,929.2059669,224.0271093,0.946895626,0.119477378,3136.313273,920.2054997,60.34053927,0,-1.191137399,3153.562086,925.4898853,237.8290136,0.96181732,0.113823398,3141.703044,929.5702053,362.2695446,0.973678409,0.08044548,3143.025251,929.8644326,371.3518757,0.973782444,0.085685275,3133.273506,929.6530916,346.2646632,0.977534812,0.073705576,3150.393744,928.1893848,208.8811849,0.959252693,0.175640307,3126.511073,914.3735706,0,0,-1.335321978,3153.172488,924.608919,181.5772896,0.994358297,0.047212116,1010,23472,0.043029993,13408,7647,10,384,3.295074235,32.95074235,0,NA,0,1,0,0,0,0,0,0
7,1.14.1,32,KernB2,T5,96,IMG_9531_T5_C_OG.jpg,2992.073409,341.9778553,102.5328293,0.688068286,0.352052029,5735,305,43.32466348,6.92530658,31.22683625,57.7977584,2990.64388,343.2611044,106.381787,0.715060683,0.374538542,2990.465886,343.3432837,106.8272818,0.712246706,0.36973467,2991.070209,343.695809,98.97879376,0.674196059,0.432278233,2980.64204,351.5296913,137.80193,0.885028889,0.452658038,2983.798938,344.4635161,134.4763549,0.84218349,0.372371975,2941.279443,369.7934225,184.900781,0,0.793968061,2990.199979,343.453433,106.5458227,0.71116775,0.351707783,2990.194975,343.5134586,107.258188,0.7134884,0.349221755,2990.081178,346.5679193,98.076153,0.746983035,0.416966519,2967.489739,355.3529708,132.1619951,0.927407719,0.467999585,2981.175647,340.5882411,135.4503576,0.788360256,0.356493251,2892.107728,371.504188,207.3142537,0,1.086639482,3072.006288,393.7125268,397.8619514,0.958044265,0.437682727,34031,911,127.6359599,52.17661638,43.78332645,221.2609694,3063.082227,388.1521732,394.4971554,0.962057395,0.447001379,3067.92898,391.627195,393.4619161,0.960084631,0.440588335,3068.093764,391.2821022,403.9512945,0.963638862,0.448682611,3014.069684,363.1914165,321.2158759,0.96144124,0.451493854,2984.953432,334.2854513,0,0,-0.824419244,3035.537933,374.8951692,300.1658618,0.973479575,0.496971034,3061.038975,386.8263805,388.0286471,0.963857945,0.455554318,3065.834425,391.0234758,387.374019,0.96054905,0.448290537,3057.507828,389.2216521,360.3550884,0.968636628,0.492406399,3010.100566,362.3958401,301.3483969,0.945721521,0.483191354,2947.055773,298.3699661,0,0,-0.950897885,3036.776615,367.9080711,301.1980028,0,0.499029272,5735,34031,0.168522817,18084,7908,2,637,4.777380337,47.77380337,0,NA,0,1,0,0,0,0,0,0
8,1.14.1,9,T7,T2,72,T2_IMG_9520_C.jpg,3444.732727,201.2654545,30.0885578,0.621945571,1.28401749,550,80,12.80508626,1.412693646,9.734426665,15.47123339,3444.789,201.3597691,29.2475508,0.605360832,1.323949537,3444.881043,201.8229104,30.05533922,0.606583804,1.307329198,3445.304367,201.1131725,30.15839435,0.626016619,1.358210056,3442.767952,199.9209458,30.58108898,0.850608682,1.435002489,3447.044746,204.3766309,22.4379568,0,-0.648843797,3442.276578,193.9802503,17.66186046,0,-0.072982423,3445.418177,200.87162,28.52600948,0.665787197,1.407069444,3445.923535,201.8540633,31.19012234,0.669446364,1.409868099,3450.197047,195.2039331,31.7144963,0,1.098262348,3441.965346,185.0610737,0,0,0.118524245,3427.114611,203.7118078,57.219519,0,1.212150717,3440.996067,198.1730628,19.75077575,0.464603691,1.046529649,3378.535691,240.9573258,311.55546,0.935226034,-0.378450654,25847,766,102.0251808,36.97754519,52.64387344,169.8096042,3372.032571,244.7899424,317.0307631,0.944513549,-0.378905043,3373.683313,244.0345977,314.1993501,0.941946044,-0.377839952,3365.890357,248.8945178,325.7669929,0.949519859,-0.369401178,3343.123232,247.7125015,383.7023517,0.959133233,-0.460717931,3435.000708,199.0712019,190.8037188,0.965453721,0.486331044,3060.632637,508.8018764,0,0,0.854362644,3373.072699,244.0668998,313.9898127,0.945387225,-0.373577457,3374.024994,243.7261288,313.6515939,0.942494545,-0.375100035,3365.736334,248.9100462,306.9030672,0.959457865,-0.347890528,3361.550801,240.3962768,366.6110633,0.940197181,-0.479873411,3450.97859,192.4754587,179.789702,0,0.943674438,16611.66957,-9136.295994,1750.13521,0,0.954904927,550,25847,0.021279065,23701,1594,45,307,3.628484311,36.28484311,1,NA,0,1,0,0,0,0,0,0
9,1.14.1,9,Molly,T6,96,IMG_9532_T6_C_OG.jpg,3040.673034,514.258427,39.32904703,0.667959854,-0.272537551,890,101,16.46654758,2.068229459,11.9864193,19.86466563,3040.80814,514.4691538,38.65505481,0.663696185,-0.287001851,3040.82813,514.4296992,39.57129259,0.666236751,-0.274786177,3040.522651,515.2315068,37.91721509,0.672898199,-0.331621523,3042.354037,516.466883,37.35237749,0.667353715,-0.537497092,3042.707226,512.9669108,40.61865424,0.740048088,-0.012276295,3043.17785,512.4309053,47.23938218,0.761709017,0.036309196,3041.086174,514.6722453,39.05643976,0.68085371,-0.397279687,3041.114709,514.6079079,40.4755158,0.664873474,-0.350208237,3040.737838,515.8666692,38.35289539,0.71696051,-0.486477703,3042.666412,519.3162338,40.11894811,0.824809478,-0.641021815,3045.767808,509.2446598,43.31525344,0.781752988,-0.277858279,3052.252202,503.5262086,49.44579968,0,0.439935931,3059.435047,536.817796,325.6465071,0.948860674,0.212735893,25680,746,104.2802883,39.48868511,45.17042271,174.1299238,3063.059162,537.0930391,320.9147375,0.951238668,0.212943073,3061.636233,537.1004208,321.3036142,0.950191032,0.211856343,3064.387942,538.149819,321.0470954,0.952890312,0.209928377,3048.433373,535.8330118,381.1065963,0.950062289,0.231281987,3010.709674,531.0987268,325.8672718,0.90467692,0.279095206,3122.468197,547.2686891,0,0,-1.322477626,3061.692144,537.729504,307.6097217,0.951892342,0.205645672,3060.530797,537.9987924,312.6790451,0.950471764,0.204644968,3059.329443,545.0772182,253.0377248,0.984576616,0.171232393,2981.100766,520.573308,169.5819843,0.927156953,1.131272744,3004.446891,525.1084132,290.815298,0.847427253,0.285212772,3186.414982,548.8960045,0,0,-1.457840298,890,25680,0.034657321,23304,1432,117,463,3.605040318,36.05040318,1,NA,0,1,0,0,0,0,0,0
10,1.14.1,40,BMM,T1,72,T1_IMG_9519_C.jpg,3282.13222,967.7313848,48.18770382,0.608325789,0.071025447,1437,127,21.00402255,2.044270844,16.88795945,24.65475041,3282.603268,967.776529,48.47839304,0.629898433,0.064478149,3282.221365,967.8037619,49.62496812,0.637080046,0.063551156,3283.112292,968.0145028,48.32804815,0.62864682,0.042048992,3285.976322,968.033361,54.98797226,0.757685146,0.073670902,3273.934009,966.8437586,38.42512493,0.293158834,-0.49959794,3259.68144,967.2163444,45.43967405,0,-1.498990392,3283.214457,968.1018012,48.94422825,0.63743229,0.07522091,3282.636594,968.2378425,50.94597746,0.653713347,0.06380848,3283.992563,968.9094586,49.05737765,0.62838399,0.013667684,3289.635127,969.5795014,54.19244696,0.731330482,-0.0262531,3261.54005,970.2506027,53.6497486,0,1.302602867,3306.222271,963.8232542,32.5192504,0,1.474105548,3218.048907,939.4283543,376.7392698,0.966449504,0.218931283,25661,917,118.123501,53.28891593,36.28604964,211.1356895,3214.886395,938.3796081,380.1317318,0.96980858,0.227267388,3215.868132,938.5881667,376.2513044,0.96828651,0.22200568,3208.473839,937.6813877,388.3433959,0.97200796,0.237394253,3181.62358,933.2024424,421.3067137,0.978634955,0.280802443,3051.532982,871.7952587,0,0,-1.277096977,3218.45866,935.1447908,299.7335252,0.974208982,0.19089766,3214.912128,939.0860701,376.4220093,0.972453487,0.22635678,3215.947568,939.2540671,372.8582802,0.969809842,0.220245393,3214.476426,943.3165682,353.8471973,0.9807715,0.231949487,3202.446268,947.9817836,426.4333067,0.979167266,0.250844914,2279.51666,520.9653076,0,0,-1.161327567,3189.248507,916.6084549,358.2756686,0,0.221782837,1437,25661,0.055999376,22006,2196,318,467,3.602373037,36.02373037,0,NA,0,1,0,0,0,0,0,0
